Size,RandomArrayMergeSort,RandomArrayHybridSort,ReverseSortedArrayMergeSort,ReverseSortedArrayHybridSort,AlmostSortedArrayMergeSort,AlmostSortedArrayHybridSort
500,114,45,97,42,106,22
600,135,51,117,54,128,24
700,160,61,131,66,138,28
800,187,76,156,88,165,34
900,209,82,166,74,181,44
1000,232,92,181,88,195,45
1100,260,106,206,101,220,52
1200,280,115,218,112,247,55
1300,308,147,244,131,257,76
1400,332,141,260,141,274,66
1500,352,152,278,156,293,69
1600,390,166,295,183,319,73
1700,417,178,319,150,353,93
1800,439,187,334,162,365,96
1900,468,195,347,166,383,103
2000,479,207,361,187,391,104
2100,513,226,403,194,430,115
2200,538,248,415,211,469,117
2300,569,250,435,227,471,123
2400,584,264,466,233,493,128
2500,611,270,469,263,505,135
2600,639,288,487,285,526,144
2700,687,309,506,290,550,147
2800,691,313,530,307,573,159
2900,733,337,548,331,602,154
3000,745,347,579,322,612,166
3100,781,357,588,351,631,172
3200,810,372,607,378,645,173
3300,835,380,635,301,681,204
3400,863,390,657,326,706,214
3500,897,400,680,322,743,208
3600,923,425,701,335,744,221
3700,943,425,715,340,781,233
3800,975,429,732,363,811,236
3900,992,458,750,380,836,235
4000,1020,464,783,394,844,247
4100,1058,486,800,401,837,247
4200,1088,495,821,423,896,255
4300,1109,501,825,430,914,266
4400,1157,518,869,454,947,270
4500,1166,536,889,459,987,276
4600,1200,545,897,475,997,275
4700,1208,558,923,483,994,283
4800,1227,578,935,507,1024,286
4900,1250,600,960,516,1020,294
5000,1295,605,1002,537,1070,309
5100,1289,622,1003,544,1060,300
5200,1341,623,1037,561,1082,320
5300,1372,648,1035,583,1109,327
5400,1401,672,1061,588,1155,335
5500,1414,668,1084,606,1139,329
5600,1458,693,1092,625,1197,341
5700,1482,695,1112,642,1213,367
5800,1494,723,1143,659,1232,374
5900,1535,725,1159,688,1250,358
6000,1571,757,1162,687,1269,360
6100,1603,775,1207,732,1308,390
6200,1617,808,1205,730,1319,383
6300,1651,796,1274,774,1337,389
6400,1682,825,1263,772,1367,403
6500,1718,812,1306,657,1386,441
6600,1724,816,1291,634,1389,436
6700,1768,840,1316,645,1423,441
6800,1801,857,1330,648,1467,456
6900,1827,856,1359,677,1495,467
7000,1857,871,1376,692,1512,476
7100,1891,888,1397,701,1530,478
7200,1906,907,1435,703,1543,483
7300,1975,915,1439,729,1577,506
7400,1994,935,1476,725,1618,513
7500,2000,942,1498,755,1619,515
7600,2043,949,1506,760,1641,514
7700,2086,971,1519,774,1688,529
7800,2074,980,1525,787,1666,541
7900,2092,999,1594,819,1705,522
8000,2131,1000,1593,795,1746,533
8100,2162,1023,1580,830,1706,558
8200,2164,1033,1601,867,1761,548
8300,2221,1061,1649,867,1778,560
8400,2253,1055,1687,862,1803,570
8500,2270,1098,1710,894,1864,590
8600,2337,1098,1711,910,1872,588
8700,2327,1115,1732,907,1883,580
8800,2370,1140,1743,923,1914,586
8900,2435,1147,1772,956,1972,612
9000,2408,1167,1788,967,1969,615
9100,2462,1201,1846,988,2033,617
9200,2489,1191,1849,998,2027,622
9300,2500,1218,1869,1008,2008,639
9400,2536,1229,1902,1036,2068,643
9500,2590,1233,1925,1053,2083,655
9600,2633,1255,1933,1075,2100,659
9700,2623,1263,1944,1077,2121,649
9800,2647,1284,1952,1081,2138,646
9900,2656,1302,1976,1124,2172,671
10000,2715,1349,1988,1108,2252,655
